nohup: ignoring input
2025-02-21 17:12:59,727 - INFO - Dataset carregado com 2976 amostras.
2025-02-21 17:12:59,728 - INFO - Super Fold: 2529, Teste: 447
2025-02-21 17:13:10,208 - INFO - Modelo carregado a partir de: /home/thalles.fontainha/3dCnnOtimizada/best_model_fold_2.pth
2025-02-21 17:13:10,208 - INFO - Iniciando treinamento no Super Fold com Early Stopping...
2025-02-21 21:25:25,358 - INFO - Época 44 | Loss: 0.0002 | Acurácia: 86.13% | AUC: 0.9209 | F1: 0.8385
2025-02-21 21:31:06,722 - INFO - Época 45 | Loss: 0.0002 | Acurácia: 86.35% | AUC: 0.9206 | F1: 0.8373
2025-02-21 21:36:49,119 - INFO - Época 46 | Loss: 0.0002 | Acurácia: 86.13% | AUC: 0.9201 | F1: 0.8342
2025-02-21 21:42:32,807 - INFO - Época 47 | Loss: 0.0001 | Acurácia: 85.91% | AUC: 0.9196 | F1: 0.8338
2025-02-21 21:48:12,440 - INFO - Época 48 | Loss: 0.0001 | Acurácia: 85.91% | AUC: 0.9192 | F1: 0.8311
2025-02-21 21:53:52,698 - INFO - Época 49 | Loss: 0.0001 | Acurácia: 85.91% | AUC: 0.9190 | F1: 0.8338
2025-02-21 21:59:33,631 - INFO - Época 50 | Loss: 0.0001 | Acurácia: 85.68% | AUC: 0.9182 | F1: 0.8280
2025-02-21 22:05:17,404 - INFO - Época 51 | Loss: 0.0001 | Acurácia: 86.13% | AUC: 0.9201 | F1: 0.8342
2025-02-21 22:11:06,120 - INFO - Época 52 | Loss: 0.0001 | Acurácia: 86.13% | AUC: 0.9196 | F1: 0.8351
2025-02-21 22:16:46,924 - INFO - Época 53 | Loss: 0.0000 | Acurácia: 86.13% | AUC: 0.9196 | F1: 0.8342
2025-02-21 22:22:27,477 - INFO - Época 54 | Loss: 0.2117 | Acurácia: 74.50% | AUC: 0.9129 | F1: 0.7543
2025-02-21 22:28:10,468 - INFO - Época 55 | Loss: 0.1166 | Acurácia: 70.47% | AUC: 0.9084 | F1: 0.7317
2025-02-21 22:33:52,331 - INFO - Época 56 | Loss: 0.0466 | Acurácia: 78.52% | AUC: 0.9079 | F1: 0.6800
2025-02-21 22:39:34,484 - INFO - Época 57 | Loss: 0.0305 | Acurácia: 81.88% | AUC: 0.9024 | F1: 0.7568
2025-02-21 22:45:16,754 - INFO - Época 58 | Loss: 0.0235 | Acurácia: 85.46% | AUC: 0.9158 | F1: 0.8267
2025-02-21 22:51:02,502 - INFO - Época 59 | Loss: 0.0028 | Acurácia: 84.56% | AUC: 0.9160 | F1: 0.8067
2025-02-21 22:56:47,111 - INFO - Época 60 | Loss: 0.0176 | Acurácia: 84.12% | AUC: 0.9123 | F1: 0.8055
2025-02-21 23:02:34,575 - INFO - Época 61 | Loss: 0.0014 | Acurácia: 84.34% | AUC: 0.9112 | F1: 0.8128
2025-02-21 23:08:18,090 - INFO - Época 62 | Loss: 0.0006 | Acurácia: 81.88% | AUC: 0.9097 | F1: 0.8067
2025-02-21 23:14:04,196 - INFO - Época 63 | Loss: 0.0004 | Acurácia: 85.01% | AUC: 0.9132 | F1: 0.8174
2025-02-21 23:19:48,306 - INFO - Época 64 | Loss: 0.0003 | Acurácia: 84.34% | AUC: 0.9104 | F1: 0.8128
2025-02-21 23:25:32,721 - INFO - Época 65 | Loss: 0.0002 | Acurácia: 84.34% | AUC: 0.9097 | F1: 0.8128
2025-02-21 23:31:14,699 - INFO - Época 66 | Loss: 0.0001 | Acurácia: 84.56% | AUC: 0.9116 | F1: 0.8150
2025-02-21 23:37:00,637 - INFO - Época 67 | Loss: 0.0001 | Acurácia: 84.34% | AUC: 0.9087 | F1: 0.8128
2025-02-21 23:42:39,857 - INFO - Época 68 | Loss: 0.0001 | Acurácia: 85.23% | AUC: 0.9120 | F1: 0.8216
2025-02-21 23:48:21,798 - INFO - Época 69 | Loss: 0.0001 | Acurácia: 85.01% | AUC: 0.9120 | F1: 0.8164
2025-02-21 23:54:06,146 - INFO - Época 70 | Loss: 0.0001 | Acurácia: 84.79% | AUC: 0.9121 | F1: 0.8162
2025-02-21 23:59:47,411 - INFO - Época 71 | Loss: 0.0001 | Acurácia: 84.56% | AUC: 0.9102 | F1: 0.8160
2025-02-22 00:05:32,212 - INFO - Época 72 | Loss: 0.0001 | Acurácia: 84.12% | AUC: 0.9105 | F1: 0.8136
2025-02-22 00:11:13,222 - INFO - Época 73 | Loss: 0.0001 | Acurácia: 84.79% | AUC: 0.9113 | F1: 0.8191
2025-02-22 00:16:53,869 - INFO - Época 74 | Loss: 0.0000 | Acurácia: 85.01% | AUC: 0.9118 | F1: 0.8184
2025-02-22 00:22:32,079 - INFO - Época 75 | Loss: 0.0002 | Acurácia: 84.56% | AUC: 0.8624 | F1: 0.8189
2025-02-22 00:28:11,102 - INFO - Época 76 | Loss: 0.2457 | Acurácia: 84.79% | AUC: 0.9117 | F1: 0.8142
2025-02-22 00:33:50,892 - INFO - Época 77 | Loss: 0.0803 | Acurácia: 84.12% | AUC: 0.9083 | F1: 0.7989
2025-02-22 00:39:33,213 - INFO - Época 78 | Loss: 0.0176 | Acurácia: 83.00% | AUC: 0.9091 | F1: 0.8061
2025-02-22 00:45:13,796 - INFO - Época 79 | Loss: 0.0024 | Acurácia: 83.22% | AUC: 0.9090 | F1: 0.7956
2025-02-22 00:50:55,920 - INFO - Época 80 | Loss: 0.0010 | Acurácia: 83.67% | AUC: 0.9090 | F1: 0.8011
2025-02-22 00:56:34,556 - INFO - Época 81 | Loss: 0.0006 | Acurácia: 83.22% | AUC: 0.9102 | F1: 0.8021
2025-02-22 01:02:12,377 - INFO - Época 82 | Loss: 0.0008 | Acurácia: 82.10% | AUC: 0.9074 | F1: 0.7826
2025-02-22 01:07:54,223 - INFO - Época 83 | Loss: 0.0005 | Acurácia: 82.55% | AUC: 0.9080 | F1: 0.7937
2025-02-22 01:13:36,528 - INFO - Época 84 | Loss: 0.0003 | Acurácia: 82.55% | AUC: 0.9094 | F1: 0.7947
2025-02-22 01:19:14,595 - INFO - Época 85 | Loss: 0.0002 | Acurácia: 83.00% | AUC: 0.9105 | F1: 0.8010
2025-02-22 01:24:53,608 - INFO - Época 86 | Loss: 0.0002 | Acurácia: 83.00% | AUC: 0.9102 | F1: 0.7979
2025-02-22 01:30:34,995 - INFO - Época 87 | Loss: 0.0001 | Acurácia: 82.55% | AUC: 0.9093 | F1: 0.7903
2025-02-22 01:36:14,881 - INFO - Época 88 | Loss: 0.0001 | Acurácia: 83.00% | AUC: 0.9101 | F1: 0.8000
2025-02-22 01:41:57,946 - INFO - Época 89 | Loss: 0.0001 | Acurácia: 82.77% | AUC: 0.9100 | F1: 0.7968
2025-02-22 01:47:43,382 - INFO - Época 90 | Loss: 0.0001 | Acurácia: 83.00% | AUC: 0.9102 | F1: 0.8000
2025-02-22 01:53:28,543 - INFO - Época 91 | Loss: 0.0001 | Acurácia: 82.33% | AUC: 0.9099 | F1: 0.7893
2025-02-22 01:59:10,103 - INFO - Época 92 | Loss: 0.0001 | Acurácia: 82.77% | AUC: 0.9108 | F1: 0.7979
2025-02-22 02:04:51,554 - INFO - Época 93 | Loss: 0.0000 | Acurácia: 82.77% | AUC: 0.9103 | F1: 0.7979
2025-02-22 02:10:32,627 - INFO - Época 94 | Loss: 0.0000 | Acurácia: 83.22% | AUC: 0.9083 | F1: 0.8011
2025-02-22 02:16:16,337 - INFO - Época 95 | Loss: 0.0000 | Acurácia: 82.77% | AUC: 0.9088 | F1: 0.7979
2025-02-22 02:22:01,940 - INFO - Época 96 | Loss: 0.1317 | Acurácia: 83.45% | AUC: 0.9077 | F1: 0.7989
2025-02-22 02:27:45,576 - INFO - Época 97 | Loss: 0.1089 | Acurácia: 83.00% | AUC: 0.9150 | F1: 0.8061
2025-02-22 02:33:28,455 - INFO - Época 98 | Loss: 0.0068 | Acurácia: 84.34% | AUC: 0.9153 | F1: 0.8148
2025-02-22 02:39:15,438 - INFO - Época 99 | Loss: 0.0061 | Acurácia: 83.89% | AUC: 0.9154 | F1: 0.8115
2025-02-22 02:45:00,149 - INFO - Época 100 | Loss: 0.0011 | Acurácia: 83.67% | AUC: 0.9153 | F1: 0.8064
2025-02-22 02:50:44,978 - INFO - Época 101 | Loss: 0.0006 | Acurácia: 83.67% | AUC: 0.9165 | F1: 0.8032
2025-02-22 02:56:31,717 - INFO - Época 102 | Loss: 0.0004 | Acurácia: 84.12% | AUC: 0.9177 | F1: 0.8117
2025-02-22 03:02:16,112 - INFO - Época 103 | Loss: 0.0002 | Acurácia: 84.12% | AUC: 0.9165 | F1: 0.8117
2025-02-22 03:08:06,357 - INFO - Época 104 | Loss: 0.0002 | Acurácia: 84.34% | AUC: 0.9183 | F1: 0.8138
2025-02-22 03:13:55,883 - INFO - Época 105 | Loss: 0.0002 | Acurácia: 84.56% | AUC: 0.9186 | F1: 0.8189
2025-02-22 03:19:40,733 - INFO - Época 106 | Loss: 0.0001 | Acurácia: 84.34% | AUC: 0.9177 | F1: 0.8148
2025-02-22 03:25:24,153 - INFO - Época 107 | Loss: 0.0001 | Acurácia: 84.56% | AUC: 0.9183 | F1: 0.8189
2025-02-22 03:31:10,035 - INFO - Época 108 | Loss: 0.0001 | Acurácia: 84.34% | AUC: 0.9190 | F1: 0.8158
2025-02-22 03:36:55,529 - INFO - Época 109 | Loss: 0.0001 | Acurácia: 84.34% | AUC: 0.9188 | F1: 0.8148
2025-02-22 03:42:42,767 - INFO - Época 110 | Loss: 0.0001 | Acurácia: 84.56% | AUC: 0.9197 | F1: 0.8189
2025-02-22 03:48:30,115 - INFO - Época 111 | Loss: 0.0001 | Acurácia: 84.12% | AUC: 0.9196 | F1: 0.8127
2025-02-22 03:54:15,958 - INFO - Época 112 | Loss: 0.0000 | Acurácia: 84.34% | AUC: 0.9188 | F1: 0.8128
2025-02-22 04:00:00,585 - INFO - Época 113 | Loss: 0.0000 | Acurácia: 84.56% | AUC: 0.9179 | F1: 0.8179
