nohup: ignoring input
Número de GPUs detectadas: 2
GPU 1: NVIDIA GeForce RTX 2080 Ti com 10.75 GB de memória
GPU 2: NVIDIA GeForce RTX 2080 Ti com 10.75 GB de memória

Fold 1/5
Fold 1 | Época 45/1000 | Treino: 0.0169 | Val: 0.0796 | Acurácia: 78.02% | AUC: 0.8780 | F1: 0.7570
Fold 1 | Época 46/1000 | Treino: 0.0113 | Val: 0.0983 | Acurácia: 76.34% | AUC: 0.8844 | F1: 0.7606
Fold 1 | Época 47/1000 | Treino: 0.0142 | Val: 0.0950 | Acurácia: 78.52% | AUC: 0.8717 | F1: 0.7656
Fold 1 | Época 48/1000 | Treino: 0.0143 | Val: 0.0774 | Acurácia: 76.85% | AUC: 0.8792 | F1: 0.7527
Fold 1 | Época 49/1000 | Treino: 0.0125 | Val: 0.1048 | Acurácia: 80.37% | AUC: 0.8969 | F1: 0.7636
Fold 1 | Época 50/1000 | Treino: 0.0108 | Val: 0.0990 | Acurácia: 80.03% | AUC: 0.8875 | F1: 0.7792
Fold 1 | Época 51/1000 | Treino: 0.0121 | Val: 0.0923 | Acurácia: 75.34% | AUC: 0.8629 | F1: 0.7461
Fold 1 | Época 52/1000 | Treino: 0.0137 | Val: 0.0727 | Acurácia: 76.68% | AUC: 0.8696 | F1: 0.7549
Fold 1 | Época 53/1000 | Treino: 0.0131 | Val: 0.1049 | Acurácia: 73.15% | AUC: 0.8712 | F1: 0.7436
Fold 1 | Época 54/1000 | Treino: 0.0115 | Val: 0.0910 | Acurácia: 74.33% | AUC: 0.8959 | F1: 0.7520
Fold 1 | Época 55/1000 | Treino: 0.0106 | Val: 0.0798 | Acurácia: 78.36% | AUC: 0.8869 | F1: 0.7692
Fold 1 | Época 56/1000 | Treino: 0.0124 | Val: 0.0859 | Acurácia: 72.65% | AUC: 0.8653 | F1: 0.7297
Fold 1 | Época 57/1000 | Treino: 0.0085 | Val: 0.0923 | Acurácia: 80.37% | AUC: 0.8879 | F1: 0.7771
Fold 1 | Época 58/1000 | Treino: 0.0115 | Val: 0.1110 | Acurácia: 76.01% | AUC: 0.8523 | F1: 0.7307
Fold 1 - Early stopping at epoch 58

Fold 2/5
Fold 2 | Época 1/1000 | Treino: 0.0853 | Val: 0.0786 | Acurácia: 47.23% | AUC: 0.8051 | F1: 0.6262
Fold 2 | Época 2/1000 | Treino: 0.0751 | Val: 0.0607 | Acurácia: 77.65% | AUC: 0.8831 | F1: 0.7802
Fold 2 | Época 3/1000 | Treino: 0.0688 | Val: 0.0874 | Acurácia: 52.61% | AUC: 0.8697 | F1: 0.6519
Fold 2 | Época 4/1000 | Treino: 0.0669 | Val: 0.0513 | Acurácia: 77.48% | AUC: 0.9144 | F1: 0.7926
Fold 2 | Época 5/1000 | Treino: 0.0625 | Val: 0.1169 | Acurácia: 74.96% | AUC: 0.8968 | F1: 0.6357
Fold 2 | Época 6/1000 | Treino: 0.0619 | Val: 0.0966 | Acurácia: 79.16% | AUC: 0.9019 | F1: 0.7182
Fold 2 | Época 7/1000 | Treino: 0.0565 | Val: 0.0747 | Acurácia: 81.01% | AUC: 0.8887 | F1: 0.7872
Fold 2 | Época 8/1000 | Treino: 0.0570 | Val: 0.0552 | Acurácia: 81.85% | AUC: 0.9099 | F1: 0.8105
Fold 2 | Época 9/1000 | Treino: 0.0523 | Val: 0.0608 | Acurácia: 84.54% | AUC: 0.9166 | F1: 0.8303
Fold 2 | Época 10/1000 | Treino: 0.0526 | Val: 0.0565 | Acurácia: 79.50% | AUC: 0.8974 | F1: 0.7911
Fold 2 | Época 11/1000 | Treino: 0.0500 | Val: 0.0587 | Acurácia: 80.84% | AUC: 0.9049 | F1: 0.7950
Fold 2 | Época 12/1000 | Treino: 0.0469 | Val: 0.0508 | Acurácia: 78.49% | AUC: 0.9146 | F1: 0.7935
Fold 2 | Época 13/1000 | Treino: 0.0472 | Val: 0.0489 | Acurácia: 78.32% | AUC: 0.9181 | F1: 0.7929
Fold 2 | Época 14/1000 | Treino: 0.0432 | Val: 0.0702 | Acurácia: 66.22% | AUC: 0.9189 | F1: 0.7228
Fold 2 | Época 15/1000 | Treino: 0.0432 | Val: 0.0500 | Acurácia: 80.34% | AUC: 0.9156 | F1: 0.8053
Fold 2 | Época 16/1000 | Treino: 0.0394 | Val: 0.0892 | Acurácia: 62.02% | AUC: 0.9080 | F1: 0.6995
Fold 2 | Época 17/1000 | Treino: 0.0384 | Val: 0.0534 | Acurácia: 82.02% | AUC: 0.9176 | F1: 0.8133
Fold 2 | Época 18/1000 | Treino: 0.0358 | Val: 0.0570 | Acurácia: 81.34% | AUC: 0.9044 | F1: 0.8090
Fold 2 | Época 19/1000 | Treino: 0.0384 | Val: 0.0583 | Acurácia: 68.91% | AUC: 0.9129 | F1: 0.7338
Fold 2 | Época 20/1000 | Treino: 0.0363 | Val: 0.0719 | Acurácia: 69.24% | AUC: 0.9174 | F1: 0.7382
Fold 2 | Época 21/1000 | Treino: 0.0329 | Val: 0.0522 | Acurácia: 81.51% | AUC: 0.9180 | F1: 0.8129
Fold 2 | Época 22/1000 | Treino: 0.0339 | Val: 0.0605 | Acurácia: 75.80% | AUC: 0.9166 | F1: 0.7798
Fold 2 | Época 23/1000 | Treino: 0.0335 | Val: 0.0576 | Acurácia: 83.87% | AUC: 0.9223 | F1: 0.8216
Fold 2 | Época 24/1000 | Treino: 0.0308 | Val: 0.0600 | Acurácia: 75.29% | AUC: 0.8924 | F1: 0.7678
Fold 2 | Época 25/1000 | Treino: 0.0287 | Val: 0.0563 | Acurácia: 78.32% | AUC: 0.9117 | F1: 0.7923
Fold 2 | Época 26/1000 | Treino: 0.0289 | Val: 0.0648 | Acurácia: 77.14% | AUC: 0.8842 | F1: 0.7741
Fold 2 | Época 27/1000 | Treino: 0.0257 | Val: 0.0840 | Acurácia: 68.57% | AUC: 0.8911 | F1: 0.7309
Fold 2 | Época 28/1000 | Treino: 0.0271 | Val: 0.0651 | Acurácia: 72.27% | AUC: 0.9060 | F1: 0.7534
Fold 2 | Época 29/1000 | Treino: 0.0259 | Val: 0.0648 | Acurácia: 81.18% | AUC: 0.9122 | F1: 0.8069
Fold 2 | Época 30/1000 | Treino: 0.0242 | Val: 0.0661 | Acurácia: 80.84% | AUC: 0.9013 | F1: 0.8048
Fold 2 | Época 31/1000 | Treino: 0.0217 | Val: 0.0685 | Acurácia: 80.84% | AUC: 0.9012 | F1: 0.8094
Fold 2 | Época 32/1000 | Treino: 0.0253 | Val: 0.0769 | Acurácia: 82.02% | AUC: 0.9012 | F1: 0.8037
Fold 2 | Época 33/1000 | Treino: 0.0193 | Val: 0.0604 | Acurácia: 78.32% | AUC: 0.9095 | F1: 0.7902
Fold 2 | Época 34/1000 | Treino: 0.0231 | Val: 0.0797 | Acurácia: 83.87% | AUC: 0.9070 | F1: 0.8209
Fold 2 | Época 35/1000 | Treino: 0.0193 | Val: 0.0588 | Acurácia: 81.51% | AUC: 0.9164 | F1: 0.8154
Fold 2 | Época 36/1000 | Treino: 0.0197 | Val: 0.0640 | Acurácia: 82.02% | AUC: 0.9084 | F1: 0.8086
Fold 2 | Época 37/1000 | Treino: 0.0179 | Val: 0.0743 | Acurácia: 81.68% | AUC: 0.9023 | F1: 0.8124
Fold 2 | Época 38/1000 | Treino: 0.0178 | Val: 0.0666 | Acurácia: 84.71% | AUC: 0.9102 | F1: 0.8312
Fold 2 | Época 39/1000 | Treino: 0.0157 | Val: 0.1090 | Acurácia: 80.17% | AUC: 0.8987 | F1: 0.7640
Fold 2 | Época 40/1000 | Treino: 0.0170 | Val: 0.0664 | Acurácia: 75.80% | AUC: 0.9071 | F1: 0.7743
Fold 2 | Época 41/1000 | Treino: 0.0131 | Val: 0.0828 | Acurácia: 81.85% | AUC: 0.9109 | F1: 0.8092
Fold 2 | Época 42/1000 | Treino: 0.0171 | Val: 0.0976 | Acurácia: 81.85% | AUC: 0.8950 | F1: 0.7866
Fold 2 | Época 43/1000 | Treino: 0.0199 | Val: 0.0782 | Acurácia: 77.31% | AUC: 0.9094 | F1: 0.7887
Fold 2 | Época 44/1000 | Treino: 0.0151 | Val: 0.0718 | Acurácia: 81.85% | AUC: 0.9069 | F1: 0.8105
Fold 2 | Época 45/1000 | Treino: 0.0154 | Val: 0.0705 | Acurácia: 80.00% | AUC: 0.8931 | F1: 0.7945
Fold 2 | Época 46/1000 | Treino: 0.0142 | Val: 0.1152 | Acurácia: 69.58% | AUC: 0.8886 | F1: 0.7411
Fold 2 | Época 47/1000 | Treino: 0.0143 | Val: 0.0745 | Acurácia: 75.80% | AUC: 0.9017 | F1: 0.7736
Fold 2 | Época 48/1000 | Treino: 0.0141 | Val: 0.1137 | Acurácia: 64.71% | AUC: 0.8955 | F1: 0.7091
Fold 2 | Época 49/1000 | Treino: 0.0148 | Val: 0.0660 | Acurácia: 81.34% | AUC: 0.9086 | F1: 0.8103
Fold 2 | Época 50/1000 | Treino: 0.0124 | Val: 0.0962 | Acurácia: 83.19% | AUC: 0.9026 | F1: 0.8106
Fold 2 | Época 51/1000 | Treino: 0.0135 | Val: 0.0734 | Acurácia: 82.86% | AUC: 0.9105 | F1: 0.8125
